name,singer,lyrics
Les ricains,Michel Sardou,Si les Ricains n'étaient pas là\nVous seriez tous en Germanie\nÀ parler de je ne sais quoi\nÀ saluer je ne sais qui\nBien sûr les années ont passé\nLes fusils ont changé de mains\nEst-ce une raison pour oublier\nQu'un jour on en a eu besoin?\nUn gars venu de Georgie\nQui se foutait pas mal de toi\nEst v'nu mourir en Normandie\nUn matin où tu n'y étais pas\nBien sûr les années ont passé\nOn est devenus des copains\nÀ l'amicale du fusillé\nOn dit qu'ils sont tombés pour rien\nSi les Ricains n'étaient pas là \nVous seriez tous en Germanie\nÀ parler de je ne sais quoi\nÀ saluer je ne sais qui
Les rois du monde,"Damien Sargue, Grégori Baquet et Philippe D'Avilla dans la comédie musicale ''Roméo et Juliette, de la haine à l'amour''","Les rois du monde vivent au sommet\nIls ont la plus belle vue mais y a un mais\nIls ne savent pas ce qu'on pense d'eux en bas\nIls ne savent pas qu'ici c'est nous les rois \n\nLes rois du monde font tout c'qu'ils veulent\nIls ont du monde autour d'eux mais ils sont seuls\nDans leurs châteaux là-haut ils s'ennuient\nPendant qu'en bas nous on danse toute la nuit \n\nNous on fait l'amour on vit la vie\nJour après jour nuit après nuit\nÀ quoi ça sert d'être sur la terre\nSi c'est pour faire nos vies à genoux\nOn sait qu'le temps c'est comme le vent\nDe vivre y a qu'ça d'important\nOn s'fout pas mal de la morale\nOn sait bien qu'on fait pas d'mal \n\nLes rois du monde ont peur de tout\nC'est qu'ils confondent les chiens et les loups\nIls font des pièges où ils tomberont un jour\nIls se protègent de tout même de l'amour\n\nLes rois du monde se battent entre eux\nC'est qu'y a d'la place, mais pour un pas pour deux\nEt nous en bas leur guerre on la f'ra pas\nOn sait même pas pourquoi tout ça c'est jeux de rois \n\nNous on fait l'amour on vit la vie\nJour après jour nuit après nuit\nÀ quoi ça sert d'être sur la terre\nSi c'est pour faire nos vies à genoux\nOn sait qu'le temps c'est comme le vent\nDe vivre y a qu'ça d'important\nOn s'fout pas mal de la morale\nOn sait bien qu'on fait pas d'mal\n\n[Instrumental]\n\nNous, on fait l'amour on vit la vie\nJour après jour nuit après nuit\nÀ quoi ça sert d'être sur la terre\nSi c'est pour faire nos vies à genoux \nOn sait qu'le temps c'est comme le vent, \nDe vivre y a qu'ça d'important\nOn s'fout pas mal de la morale\nOn sait bien qu'on fait pas d'mal\n\n[Fin de la même chanson]\n\nNous on fait l'amour on vit la vie (Benvolio : on s'fout pas mal)\nJour après jour nuit après nuit (de la morale)\nÀ quoi ça sert d'être sur la terre (on sait bien qu'on fait pas d'mal)\nSi c'est pour faire nos vies à genoux (on fait pas d'mal) \nOn sait qu'le temps c'est comme le vent\nDe vivre y a qu'ça d'important (Mercutio : c'est comme le vent) \nOn s'fout pas mal de la morale... (Benvolio : de la morale)... on sait bien qu'on fait pas d'mal\n\n(ad lib)\nNous on fait l'amour on vit la vie\nJour après jour nuit après nuit\nÀ quoi ça sert d'être sur la terre\nSi c'est pour faire nos vies à genoux\nOn sait qu'le temps c'est comme le vent\nDe vivre y a qu'ça d'important\nOn s'fout pas mal de la morale\nOn sait bien qu'on fait pas d'mal"
Les rois mages,Sheila,Comme les rois mages\nEn Galilée\nSuivaient des yeux l'étoile du berger\nJe te suivrai\nOù tu iras j'irai\nFidèle comme une ombre\nJusqu'à destination\n\nComme les rois mages\nEn Galilée\nSuivaient des yeux l'étoile du berger\nComme Christophe Colomb\nEt ses trois caravelles\nOnt suivi le soleil\nAvec obstination\n\nPlaise au ciel que j'ouvre mes fenêtres\nLe matin au bord d'un étang bleu\nPlaise au ciel que rien ne nous arrête\nDans ce monde aventureux\n\nComme les rois mages\nEn Galilée\nSuivaient confiants l'étoile du berger\nMon Amérique\nMa lumière biblique\nMa vérité cosmique\nC'est de vivre avec toi\n\n(Pahom pahom pahom pahom pahom)   (x 3)\n\nComme les rois mages\nEn Galilée\nSuivaient des yeux l'étoile du berger\nJe te suivrai\nOù tu iras j'irai\nFidèle comme une ombre\nJusqu'à destination\n\nPlaise au ciel que s'ouvrent les nuages\nL'éclaircie dévoile le chemin\nPlaise au ciel qu'au terme du voyage\nTon triomphe soit le mien\n\nComme les rois mages\nEn Galilée\nSuivaient confiants l'étoile du berger\nComme Christophe Colomb\nEt ses trois caravelles\nOnt suivi le soleil\nAvec obstination\n\n(Pahom pahom pahom pahom pahom)   (x 2)\n\n(x 2)\nComme les rois mages\nEn Galilée\nSuivaient des yeux l'étoile du berger\nJe te suivrai\nOù tu iras j'irai\nFidèle comme une ombre\nJusqu'à destination\n\nComme les rois mages\nEn Galilée\nSuivaient des yeux l'étoile du berger\nJe te suivrai\nOù tu iras j'irai\nFidèle comme une ombre\nJusqu'à destination
Les roses blanches,Berthe Sylva,"C'était un gamin un gosse de Paris\nPour famille il n'avait qu'sa mère\nUne pauvre fille aux grand yeux rougis\nPar les chagrins et la misère.\nElle aimait les fleurs les roses surtout\nEt le bambin tous les dimanches\nLui apportait de belles roses blanches\nAu lieu d'acheter des joujoux.\nLa câlinant bien tendrement\nIl disait en les lui donnant :\n\nC'est aujourd'hui dimanche\nTiens ma jolie maman\nVoici des roses blanches\nToi qui les aime tant\nVa quand je serai grand\nJ'achèterai au marchand\nToutes ses roses blanches\nPour toi jolie maman\n\nAu printemps dernier le destin brutal\nVint frapper la blonde ouvrière\nElle tomba malade et pour l'hôpital\nLe gamin vit partir sa mère.\nUn matin d'avril parmi les promeneurs\nN'ayant plus un sou dans sa poche\nSur un marché tout tremblant le pauvre mioche\nFurtivement vola des fleurs\nLa marchande l'ayant surpris\nEn baissant la tête il lui dit :\n\nC'est aujourd'hui dimanche\nEt j'allais voir maman\nJ'ai pris ces roses blanches elle les aime tant\nSur son petit lit blanc là-bas elle m'attend\nJ'ai pris ces roses blanches\nPour ma jolie maman.\n\nLa marchande émue doucement lui dit :\n"" Emporte-les je te les donne ""\nElle l'embrassa et l'enfant partit\nTout rayonnant qu'on le pardonne.\nPuis à l'hôpital il vint en courant\nPour offrir les fleurs à sa mère.\nMais en le voyant tout bas une infirmière lui dit :\n""Tu n'as plus de maman ""\nEt le gamin s'agenouillant petit\nDevant le petit lit blanc :\n\nC'est aujourd'hui dimanche\nTiens ma jolie maman\nVoici des roses blanches\nToi qui les aimais tant !\nEt quand tu t'en iras\nAu grand jardin là-bas\nToutes ces roses blanches tu les emporteras !"
Les rues de ma peine,Amir,Chacun parle sa propre langue\nTrès souvent elle tangue entre le yin et le yang\nTu m'retiens tu me mets des sangles\nQuand tu vas trop loin il arrive que je m'étrangle\nLes mots de ma pensée m'ont parfois dépassé\nPour une fois viens on efface\nOubliant nos beautés on s'est mis de côté\nJ'veux qu'on s'regarde bien en face\n\nJe ne squatterai plus les rues de ma peine\nQuand j'suis perdu j'veux qu'tu me ramènes\nJ'veux qu'on aille bien\nJ'veux qu'on aille loin et qu'on traîne\nJe ne squatterai plus les rues de ma peine\nL'amour ça tue sauf quand tu te démènes\nJ'veux qu'on fasse rien\nJ'veux qu'on s'taille loin et qu'on traîne\nOh  (x 28)\n\nLe ton monte on descend la pente\nParfois je me plante entre l'amie et l'amante\nLes démons chantent et nous démentent\nPour te préserver est-ce qu'il faut que je te mente\nSuspendus sans arrêt au fil de nos marées\nUne vague à l'âme qui nous dépasse\nCollés à nos égos posés comme des legos\nJ'veux qu'on se laisse un peu d'espace\n\nJe ne squatterai plus les rues de ma peine\nQuand j'suis perdu j'veux qu'tu me ramènes\nJ'veux qu'on aille bien\nJ'veux qu'on aille loin et qu'on traîne\nJe ne squatterai plus les rues de ma peine\nL'amour ça tue sauf quand tu te démènes\nJ'veux qu'on fasse rien\nJ'veux qu'on s'taille loin et qu'on traîne\nOh  (x 28)\n\nOh  (x 28)\n\nEt même si l'vent souffle en rafale\nLe temps idéal\nC'est quand on s'met à l'abri pour mater les étoiles \n\nJe ne squatterai plus les rues de ma peine\nQuand j'suis perdu j'veux qu'tu me ramènes\nJ'veux qu'on aille bien\nJ'veux qu'on aille loin et qu'on traîne\nJe ne squatterai plus les rues de ma peine\nL'amour ça tue sauf quand tu te démènes\nJ'veux qu'on fasse rien\nJ'veux qu'on s'taille loin et qu'on traîne\nOh   (x 28)\n\nOh   (x 28)
Les sables émouvants,Arcadian,"Allongé sur le sable chaud, je comptais les grains de ta peau\nToi tu nageais entre deux eaux, entre une pelle et un râteau\nEst-ce les envies les U.V., j'me sentais fondre et brûler\nC'est fou comme on était vivants, sentir bouillir, battre son sang\nTu sais les sables émouvants, plus tu grandis\nPlus tu t'enfonces dedans \n\n<br />Même si le temps court, ce mois d'août dure toujours\nCe mois d'août, d'août, d'août, d'août dure toujours\nMême si le vent tourne, ce mois d'août dure toujours\nCe mois d'août, d'août, d'août, d'août dure toujours \n\n<br />J'revois les vagues et puis la mer, danser dans l'écume de nos verres\nEt nous soûler au vent salé, toute la nuit on se ressert\nÉcoute nos rires ricocher dans l'eau claire du ciel d'été\nOn écrivait sans le savoir, les plus belles plages de notre histoire\nTu sais les sables émouvants, plus tu grandis\nPlus tu t'enfonces dedans \n\n<br />Même si le temps court, ce mois d'août dure toujours\nCe mois d'août, d'août, d'août, d'août dure toujours\nMême si le vent tourne, ce mois d'août dure toujours\nCe mois d'août, d'août, d'août, d'août dure toujours \n\n<br />Allongé sur le sable chaud, je comptais les grains de ta peau\nToi tu nageais entre deux eaux, entre une pelle et un râteau\nÉtaient-ce les U.V., les envies, j'me sentais fondre et brûler\nMême le soleil ébloui se penchait pour t'embraser\nTu sais les sables émouvants, plus tu grandis\nPlus tu t'enfonces dedans \n\n(x 2)\nMême si le temps court, ce mois d'août dure toujours\nCe mois d'août, d'août, d'août, d'août dure toujours\nMême si le vent tourne, ce mois d'août dure toujours\nCe mois d'août, d'août, d'août, d'août dure toujours"
Les sabots d'Hélène,Georges Brassens,Les sabots d'Hélène\nEtaient tout crottés\nLes trois capitaines\nL'auraient appelée vilaine\nEt la pauvre Hélène\nEtait comme une âme en peine\n\nNe cherche plus \nLongtemps de fontaine\nToi qui as besoin d'eau\nNe cherche plus\nAux larmes d'Hélène\nVa-t'en remplir ton seau \n\nMoi j'ai pris la peine\nDe les déchausser\nLes sabots d'Hélène \nMoi qui ne suis pas capitaine\nEt j'ai vu ma peine\nBien récompensée\n\nDans les sabots de la pauvre Hélène\nDans ses sabots crottés\nMoi j'ai trouvé \nLes pieds d'une reine\nEt je les ai gardés\n \n<br />\n<br />Son jupon de laine\nEtait tout mité\nLes trois capitaines\nL'auraient appelée vilaine\nEt la pauvre Hélène\nÉtait comme une âme en peine\n\nNe cherche plus \nLongtemps de fontaine\nToi qui as besoin d'eau\nNe cherche plus\nAux larmes d'Hélène\nVa-t'en remplir ton seau \n<br />\nMoi j'ai pris la peine\nDe le retrousser\nLe jupon d'Hélène\nMoi qui ne suis pas capitaine\nEt j'ai vu ma peine\nBien récompensée\nSous le jupon de la pauvre Hélène\nSous son jupon mité\nMoi j'ai trouvé des jambes de reine\nEt je les ai gardées \n\nEt le cœur d'Hélène\nN'savait pas chanter\nLes trois capitaines\nL'auraient appelée vilaine\nEt la pauvre Hélène\nEtait comme une âme en peine\nNe cherche plus \nLongtemps de fontaine\nToi qui as besoin d'eau\nNe cherche plus\nAux larmes d'Hélène\nVa-t'en remplir ton seau \n\nMoi j'ai pris la peine\nDe m'y arrêter\nDans le cœur d'Hélène\nMoi qui ne suis pas capitaine\nEt j'ai vu ma peine\nBien récompensée\nEt dans le cœur de la pauvre Hélène\nQui avait jamais chanté\nMoi j'ai trouvé\nL'amour d'une reine\nEt moi je l'ai gardé
Les sardines,Patrick Sébastien,"Pour faire une chanson\nFacile, facile\nFaut d'abord des paroles\nDébiles, débiles\nUne petite mélodie\nQui te prend bien la tête\nEt une chorégraphie\nPour bien faire la fête\nDans celle-là, on se rassemble\nÀ cinq, à six ou sept\nEt on se colle tous ensemble\nEn chantant à tue-tête \n\n(x 2)\n(Ha) Qu'est-ce qu'on est serré\nAu fond de cette boîte\nChantent les sardines\nChantent les sardines\n(Ha) Qu'est-ce qu'on est serré\nAu fond de cette boîte\nChantent les sardines\nEntre l'huile et les aromates \n\nBien sûr que c'est vraiment\nFacile, facile\nC'est même complètement\nDébile, débile\nC'est pas fait pour penser\nC'est fait pour faire la fête\nC'est fait pour se toucher\nSe frotter les arêtes\nAlors on se rassemble\nÀ cinq, à six ou sept\nEt puis on saute ensemble\nEn chantant à tue-tête \n\n(x 2)\n(Ha) Qu'est-ce qu'on est serré\nAu fond de cette boîte\nChantent les sardines\nChantent les sardines\n(Ha) Qu'est-ce qu'on est serré\nAu fond de cette boîte\nChantent les sardines\nEntre l'huile et les aromates\n\nEt puis\nPour respirer un p'tit peu\nOn s'écarte \nEn se tenant la main\n\nEt puis\nPour être encore plus heureux\nOn fait la la la en chantant mon refrain\n\n(La la la la\nLa la la la la la la la la la la la la\nLa la la la la la la\nLa la la la la la la la la la la la la\nLa la la la la la la la la la\nLa la la la la la la la la la la la la\nLa la la la la la la\nLa la la la la la la la la la la la la\nLa la la la la la la la la la)\n\nEt maintenant, on se rapproche à nouveau \nOn se serre, on se serre très très près\nEt en sautant tous ensemble\nOn va chanter la chanson des sardines \nEt allez\n\n(x 3)\n(Ha) Qu'est-ce qu'on est serré\nAu fond de cette boîte\nChantent les sardines\nChantent les sardines\n(Ha) Qu'est-ce qu'on est serré\nAu fond de cette boîte\nChantent les sardines\nEntre l'huile et les aromates"
Les souliers verts,Lynda Lemay,Ça faisait deux p'tits mois d'amour\nQu'on s'connaissait\nPas un seul accroc dans l'parcours\nC'était parfait\nOn a fini par s'faire l'amour\nOn a choisi notre moment\nOn était mûrs on était sûrs\nDe nos moindres p'tits sentiments\nJ'étais sceptique j'étais peureuse\nT'as mis deux mois\nÀ r'mettre ma confiance boiteuse\nEn bon état\nJ'avais baissé mon bouclier\nCessé de nous prédire une guerre\nJ'étais en train d'emménager\nLorsque j'ai vu les souliers verts\n\nDes souliers verts à talons hauts\nDans l'garde-robe\nUne paire de souliers verts\nAussi suspects qu'ignobles\nJ'les ai r'gardés droit dans les s'melles\nQuand ils m'ont sauté dans la face\nEt ça puait la maudite femelle\nQui a dû les porter rien qu'en masse\nEt ce fut un interminable face-à-face\nC'était entre moi et la vieille paire de godasses\nEt j'ai vu ma vie défiler\nDevant mes yeux déconcertés\nEt j'ai senti la sueur couler le long d'ma tempe\n\nÇa faisait deux p'tits mois d'amour\nQu'on s'connaissait\nFallait voir ça la belle p'tite cour\nQue tu m'faisais\nJ'avais cessé d'me protéger\nDepuis le cœur jusqu'à la chair\nJ'me sentais en sécurité\nJusqu'à c'que j'vois les souliers verts\n\nDes souliers verts à talons hauts\nSur la tablette\nUne paire de souliers verts\nDe femme ou de tapette\nJ'les ai r'gardés droit dans les s'melles\nDieu merci c'était pas ta pointure\nJ'suis allé mettre des gants d'vaisselle\nPour m'emparer d'ces p'tites ordures\nQuand j'suis arrivée dans la chambre en t'les montrant\nT'étais comme un caméléon sur le lit blanc\nJe t'ai d'mandé à qui c'était\nJ'peux pas croire que t'as bredouillé\nExactement c'que je craignais\nQue t'en avais aucune idée\n\nQue t'étais le premier surpris\nEt qu't'avais jamais vu ça avant\nAu grand jamais jamais d'la vie non\nSincèrement\n\nMais oui ça pousse des souliers verts\nC'est comme une sorte de champignon\nUne sorte de quenouille ou d'fougère\nÇa d'vait être humide dans ta maison\nC'est parfaitement compréhensible\nQu'ça apparaisse des souliers verts\nJ'pense même qu'y en a des comestibles\nMais eux ils poussent dans l'frigidaire\nC'est sûr j'ai pas à m'inquiéter\nDes p'tites chaussures de rien du tout\nPetit modèle de fin d'soirée pour dames\nÀ quatre pattes ou à genoux\nQui sait si c'est pas l'Saint-Esprit \nQui est v'nu t'octroyer des souliers\nC'est comme les brassières en-d'ssous du lit\nQui poussent chez d'autres miraculés\nBien sûr\n\nÇa faisait deux p'tits mois d'amour\nQu'on s'connaissait\nJ'allais quand même pas laisser ça nous séparer\nMais si tu veux bien mon amour\nJ'vais me permettre un commentaire\nPour toutes les jeunes filles au cœur lourd\nQui ont rencontré des souliers verts\nAllez chercher vos gants d'vaisselle\nPuis j'tez-moi ça à la poubelle\nVous saurez pas le fond d'l'histoire\nEt c'est p't-être mieux de pas l'savoir\nFermez vos yeux petites brebis\nVous irez droit au paradis\nLe ciel est rempli d'petits anges\nQui ont j'té des souliers aux vidanges\nEt puis j'vous parie qu'en enfer\nDans la basse-cour du vieux Satan\nY a plein de poules en souliers verts\nY a plein d'maris innocents\nQui les ont jamais vu avant\nNon sincèrement bien sûr
Les sucettes,France Gall,Annie aime les sucettes\nLes sucettes à l'anis\nLes sucettes à l'anis d'Annie\nDonnent à ses baisers un goût anisé \n\nLorsque le sucre d'orge\nParfumé à l'anis\nCoule dans la gorge d'Annie\nElle est au paradis \n\nPour quelques pennies Annie\nA ses sucettes à l'anis\nElles ont la couleur de ses grands yeux\nLa couleur des jours heureux \n\nAnnie aime les sucettes\nLes sucettes à l'anis\nLes sucettes à l'anis d'Annie\nDonnent à ses baisers un goût anisé \n\nLorsqu'elle n'a sur sa langue\nQue le petit bâton\nElle prend ses jambes à son corps\nEt retourne au drugstore\n\nPour quelques pennies Annie\nA ses sucettes à l'anis\nElles ont la couleur de ses grands yeux\nLa couleur des jours heureux\n\n[Instrumental] \n\nLorsque le sucre d'orge\nParfumé à l'anis\nCoule dans la gorge d'Annie\nElle est au paradis
Les sud américaines,Michel Fugain,"Hou les sud-américaines\nSous l'soleil des mers lointaines\nAttendez-moi\nJ'roule, voiture décapotable\nDes palmiers, des plages de sable\nAutour de moi\n\nHou que c'est bon, que c'est beau\nQue c'est chaud, que c'est bon tout ça\nHou que c'est bon, que c'est doux\nQue c'est fou, c'que c'est bon tout ça\n\nÀ la radio des bongos, et des solos d'maracas\nJe suis branché sur Caracas\nHou que c'est bon, que c'est beau\nQue c'est chaud, que c'est bon tout ça\n\nHou les sud-américaines\nVos parfums qui se promènent\nTout près de moi\nJ'roule des yeux tout ronds immenses\nSur vos hanches qui se balancent\nEt me voilà\n\nHou que c'est bon, que c'est beau\nQue c'est chaud, que c'est bon tout ça\nHou que c'est bon, que c'est doux\nQue c'est fou, c'que c'est bon tout ça \n\nÀ la radio du tango, et y a de l'amour dans l'air\nJe suis branché sur Buenos Aires\nHou que c'est bon, que c'est beau\nQue c'est chaud, que c'est bon tout ça\n\nHou où êtes-vous\nVous qui matez les matous\nCharmeuses et musiciennes où êtes-vous \nLes sud-américaines, montrez-vous\nDoux c'est beau partout du Brésil au Pérou\nY a la folie qui traîne et surtout\nLes sud-américaines quand vous voulez\nRendez-vous n'importe où hou ! \n\nLes sud-américaines\nBelles bulles d'oxygène\nDonnez-moi \nTout\nVos caresses félines\nTropicales vitamines\nAffolez-moi \n\nHou que c'est bon, que c'est beau\nQue c'est chaud, que c'est bon tout ça\nHou que c'est bon, que c'est doux\nQue c'est fou, c'que c'est bon tout ça\n\nFaudra penser à passer voir les cubaines à Cuba\nJe suis branché sur le cha-cha\n\nHou que c'est bon, que c'est beau\nQue c'est chaud, que c'est bon tout ça \n\nHou que c'est bon, que c'est beau\nQue c'est chaud, que c'est bon tout ça\n\nHou que c'est bon, que c'est doux\nQue c'est fou, c'que ça m'fait à moi \n\nHou que c'est bon, que c'est chaud\nQue c'est beau, que c'est bon tout ça\n\nHou que c'est bon, que c'est doux\nC'que c'est fou, c'que ça m'fait à moi\n\nHou que c'est bon\n(Que c'est bon que c'est chaud)\nQue c'est doux (que c'est doux que c'est doux)\nQue c'est vous\n(Que c'est beau que c'est chaud) \nQue c'est doux"
Les sunlights des tropiques,Gilbert Montagné,Vis\nSous l'équateur du Brésil\nEntre Cuba et Manille\nÀ l'heure d'été c'est facile\nPrends-moi la main viens danser\n\nJ'ai du soleil sur la peau\nJ'ai dans le cœur un bongo\nJ'ai dans la tête un oiseau\nQui te dit tout haut\n\nViens danser\nSous les sunlights des tropiques\nL'amour se raconte en musique\nOn a toute la nuit pour s'aimer\nEn attendant viens danser\nJ'aime l'océan Pacifique\nÇa m'fait quelque chose de magique\nY a rien à faire qu'à rêver\nPrends-moi la main viens danser\n(Oh woh oh woh oh woh oh oh oh woh) \n\n[Instrumental]\n\nVis\nEntre les vagues et le ciel\nTu n'seras jamais plus belle\nQue cette chanson qui t'appelle\n(Oh) prends-moi la main viens danser\n\nJ'ai dessiné sur ta peau\nUn palmier au bord de l'eau\nQu'est-ce qu'on est bien tout est beau\n(Ah) fa mi fa sol do \n\nViens danser\nSous les sunlights des tropiques\nL'amour se raconte en musique\nOn a toute la nuit pour s'aimer\nEn attendant viens danser\nJ'aime l'océan Pacifique\nÇa m'fait quelque chose de magique\nY a rien à faire qu'à rêver\nPrends-moi la main viens danser\n\nViens danser   (x 3)\nOh\nDanse   (x 7)\n\n[Instrumental]\n\nViens danser\nViens danser \nViens danser  (x 8)\nDanse   (x 10)\n\nViens danser   (x 4)
Les tournesols,Marc Lavoine,"Fragile le fond de nos voix\nQuand on dit je t'aime, je crois\nFrêle la folle espérance\nLe vrai de l'enfance qu'on oublie parfois\nFaibles nos idées nouvelles\nPour rendre plus belle la vie du sans-joie\nLes lettres jamais reçues\nCelles jamais envoyées, pourquoi \n\nJ'voulais simplement t'apprendre à compter sur moi\n(Oh) j'voulais simplement qu't'apprennes à compter avec moi\nSur le bout de nos doigts\n\nCourir dans les tournesols\nMarcher dans les champs de blé\nRetrouver les parasols\nEt le goût des nuits d'été\nLes chevaux qui caracolent\nLes souvenirs les démêlés\nEt les pastilles de menthol\nLe goût de la liberté\n\n(Oh) mince la chance qui nous reste\n(Hein hein hum hum) saisissons-la quand même\nMaigre comme une hirondelle, petite hirondelle que l'hiver fait mourir\n\nPetite possibilité de sentir encore\nQuelque chose de chaud\nCette minuscule résistance\nQui fait quand même bouger les choses\n\nCourir dans les tournesols\nMarcher dans les champs de blés\nRetrouver les parasols\nEt le goût des nuits d'été\nLes chevaux qui caracolent\nComme des parents qu'ont mal tourné\nEt les pastilles de menthol\nLe goût de la liberté\n\nCourir dans les tournesols\nMarcher dans les champs de blé\nRetrouver les parasols\nEt le goût des nuits d'été\nLes chevaux qui caracolent\nLes souvenirs, les démêlés\nEt les pastilles de menthol\n\nLe goût de la liberté (x 3)"
Les trois cloches,Édith Piaf,"Village au fond de la vallée\nComme égaré presque ignoré\nVoici qu'en la nuit étoilée\nUn nouveau-né nous est donné\nJean-François Nicot il se nomme\nIl est joufflu tendre et rosé\nÀ l'église beau petit homme\nDemain tu seras baptisé\n\nUne cloche sonne sonne\nSa voix d'écho en écho\nDit au monde qui s'étonne\nC'est pour Jean-François Nicot\nC'est pour accueillir une âme\nUne fleur qui s'ouvre au jour\nÀ peine à peine une flamme\nEncore faible qui réclame\nProtection tendresse amour\n\nVillage au fond de la vallée\nLoin des chemins loin des humains\nVoici qu'après dix-neuf années\nCœur en émoi, le Jean-François\nPrend pour femme al douce Elise\nBlanche comme fleur de pommier\nDevant Dieu dans la vieille église\nCe jour ils se sont mariés \n\nToutes les cloches sonnent sonnent\nLeurs voix d'écho en écho\nMerveilleusement couronnent\nLa noce à François Nicot\nUn seul cœur une seule âme\nDit le prêtre et pour toujours\nSoyez une pure flamme\nQui s'élève et qui proclame\nLa grandeur de votre amour \n\nVillage au fond de la vallée\nDes jours, des nuits, le temps a fui\nVoici qu'en la nuit étoilée\nUn cœur s'endort, François est mort\nCar toute chair est comme l'herbe\nElle est comme la fleur des champs\nÉpis fruits mûrs bouquets et gerbes\nHélas vont en se desséchant\n\nUne cloche sonne sonne\nElle chante dans le vent\nObsédante et monotone\nElle redit aux vivants\nNe tremblez pas cœurs fidèles\nDieu vous fera signe un jour\nVous trouverez sous son aile\nAvec la vie éternelle\nL'éternité de l'amour"
Les uns contre les autres,Fabienne Thibault dans Starmania,On dort les uns contre les autres\nOn vit les uns avec les autres\nOn se caresse on se cajole\nOn se comprend on se console\nMais au bout du compte\nOn se rend compte\nQu'on est toujours tout seul au monde \n\nOn danse les uns avec les autres\nOn court les uns après les autres\nOn se déteste on se déchire\nOn se détruit on se désire\nMais au bout du compte\nOn se rend compte\nQu'on est toujours tout seul au monde \n\nOn dort les uns contre les autres\nOn vit les uns avec les autres\nOn se caresse on se cajole\nOn se comprend on se console\nMais au bout du compte\nOn se rend compte \nQu'on est toujours tout seul au monde \n\nOn danse les uns avec les autres\nOn court les uns après les autres\nOn se déteste on se déchire\nOn se détruit on se désire\nMais au bout du compte\nOn se rend compte\nQu'on est toujours tout seul au monde \n\n(Tout seul au monde)\nAu bout du compte\nOn se rend compte\nQu'on est toujours tout seul au monde\n(Tout seul au monde)\nToujours tout seul au monde
Les vacances au bord de la mer,Michel Jonasz,On allait au bord de la mer\nAvec mon père ma sœur ma mère\nOn regardait les autres gens\nComme ils dépensaient leur argent\nNous il fallait faire attention\nQuand on avait payé le prix d'une location\nIl ne nous restait pas grand-chose\n\nAlors on regardait les bateaux\nOn suçait des glaces à l'eau\nLes palaces les restaurants\nOn ne faisait que passer devant\nEt on regardait les bateaux\nLe matin on s'réveillait tôt\nSur la plage pendant des heures\nOn prenait de belles couleurs\n\nOn allait au bord de la mer\nAvec mon père ma sœur ma mère\nEt quand les vagues étaient tranquilles\nOn passait la journée aux îles\nSauf quand on pouvait déjà plus\n\nAlors on regardait les bateaux\nOn suçait des glaces à l'eau\nOn avait l'cœur un peu gros\nMais c'était quand même beau\n\nEt on regardait les bateaux...
Les valses de Vienne,François Feldman,Du pont des supplices\nTombent les actrices\nEt dans leurs yeux chromés\nLe destin s'est brouillé\n\nAu café de Flore la faune et la flore\nOn allume le monde dans une fumée blonde\n\nMaintenant que deviennent\nQue deviennent les valses de Vienne \nDis-moi qu'est-ce que t'as fait\nPendant ces années \n\nSi les mots sont les mêmes\nDis-moi si tu m'aimes\nMaintenant que deviennent\nQue deviennent les valses de Vienne \nEt les volets qui grincent\nD'un château de province \nAujourd'hui quand tu danses\nDis à quoi tu penses \n\nDans la Rome antique errent les romantiques\nLes amours infidèles s'écrivent sur logiciel\n\nDu fond de la nuit remonte l'ennui\nEt nos chagrins de mômes dans les pages du Grand Meaulnes\n\nMaintenant que deviennent\nQue deviennent les valses de Vienne \nDis-moi qu'est-ce que t'as fait\nPendant ces années \n\nSi les mots sont les mêmes\nDis-moi si tu m'aimes\nMaintenant que deviennent\nQue deviennent les valses de Vienne \nEt les volets qui grincent\nD'un château de province \nAujourd'hui quand tu danses\nDis à quoi tu penses \n\nMaintenant que deviennent\nQue deviennent les valses de Vienne \nDis-moi qu'est-ce que t'as fait\nPendant ces années \nSi les mots sont les mêmes\nDis-moi si tu m'aimes\nSi tu m'aimes\n\nMaintenant que deviennent\nQue deviennent les valses de Vienne \nEt les volets qui grincent\nD'un château de province \nAujourd'hui quand tu danses\nDis à quoi tu penses \nÀ quoi tu penses
